EAN;Produto;Categoria;Descricao;Preco;Fornecedor;Data
1;Live;Categoria 1;Somente a descricao do produto;19,37;luciano@gmail.com;12/15/2023
2;These;Categoria 2;Somente a descricao do produto;10,52;fabio@gmail.com;12/15/2023
3;Close;Categoria 3;Somente a descricao do produto;97,95;fornecedor@gmail.com;12/15/2023
4;Southern;Categoria 4;Somente a descricao do produto;5,18;luciano@gmail.com;12/15/2023
5;Goal;Categoria 5;Somente a descricao do produto;68,14;fabio@gmail.com;12/15/2023
6;Word;Categoria 6;Somente a descricao do produto;43,88;fornecedor@gmail.com;12/15/2023
7;Half;Categoria 7;Somente a descricao do produto;21,47;luciano@gmail.com;12/15/2023
8;Water;Categoria 8;Somente a descricao do produto;71,32;fabio@gmail.com;12/15/2023
9;East;Categoria 9;Somente a descricao do produto;89,98;fornecedor@gmail.com;12/15/2023
10;Political;Categoria 1;Somente a descricao do produto;48,84;luciano@gmail.com;12/15/2023
11;Large;Categoria 2;Somente a descricao do produto;72,59;fabio@gmail.com;12/15/2023
12;Data;Categoria 3;Somente a descricao do produto;37,7;fornecedor@gmail.com;12/15/2023
13;Significant;Categoria 4;Somente a descricao do produto;73,6;luciano@gmail.com;12/15/2023
14;School;Categoria 5;Somente a descricao do produto;82,72;fabio@gmail.com;12/15/2023
15;Up;Categoria 6;Somente a descricao do produto;87,86;fornecedor@gmail.com;12/15/2023
16;Trial;Categoria 7;Somente a descricao do produto;44,33;luciano@gmail.com;12/15/2023
17;On;Categoria 8;Somente a descricao do produto;21,7;fabio@gmail.com;12/15/2023
18;Board;Categoria 9;Somente a descricao do produto;21,51;fornecedor@gmail.com;12/15/2023
19;Big;Categoria 2;Somente a descricao do produto;61,92;luciano@gmail.com;12/15/2023
20;Luciano;Categoria 3;Somente a descricao do produto;71,94;fabio@gmail.com;12/15/2023
21;Blood;Categoria 4;Somente a descricao do produto;33,77;fornecedor@gmail.com;12/15/2023
22;Month;Categoria 5;Somente a descricao do produto;94,15;luciano@gmail.com;12/15/2023
23;Another;Categoria 6;Somente a descricao do produto;18,85;fabio@gmail.com;12/15/2023
24;Do;Categoria 7;Somente a descricao do produto;65,7;fornecedor@gmail.com;12/15/2023
25;And;Categoria 8;Somente a descricao do produto;20,74;luciano@gmail.com;12/15/2023
26;Million;Categoria 9;Somente a descricao do produto;59,99;fabio@gmail.com;12/15/2023
27;Group;Categoria 1;Somente a descricao do produto;27,73;fornecedor@gmail.com;12/15/2023
28;Policy;Categoria 2;Somente a descricao do produto;77,5;luciano@gmail.com;12/15/2023
29;Contain;Categoria 3;Somente a descricao do produto;39,86;fabio@gmail.com;12/15/2023
30;We;Categoria 4;Somente a descricao do produto;90,53;fornecedor@gmail.com;12/15/2023
31;Example;Categoria 5;Somente a descricao do produto;76,47;luciano@gmail.com;12/15/2023
32;Expert;Categoria 6;Somente a descricao do produto;71,63;fabio@gmail.com;12/15/2023
33;Name;Categoria 7;Somente a descricao do produto;35,5;fornecedor@gmail.com;12/15/2023
34;Cut;Categoria 8;Somente a descricao do produto;85,28;luciano@gmail.com;12/15/2023
35;Movie;Categoria 9;Somente a descricao do produto;44,73;fabio@gmail.com;12/15/2023
36;Month;Categoria 2;Somente a descricao do produto;27,74;fornecedor@gmail.com;12/15/2023
37;Right;Categoria 3;Somente a descricao do produto;34,66;luciano@gmail.com;12/15/2023
38;Court;Categoria 4;Somente a descricao do produto;38,57;fabio@gmail.com;12/15/2023
39;Can;Categoria 5;Somente a descricao do produto;40,05;fornecedor@gmail.com;12/15/2023
40;Government;Categoria 6;Somente a descricao do produto;42,4;luciano@gmail.com;12/15/2023
41;Week;Categoria 7;Somente a descricao do produto;28,83;fabio@gmail.com;12/15/2023
42;Recent;Categoria 8;Somente a descricao do produto;82,49;fornecedor@gmail.com;12/15/2023
43;Technology;Categoria 9;Somente a descricao do produto;56,4;luciano@gmail.com;12/15/2023
44;Physical;Categoria 1;Somente a descricao do produto;89,84;fabio@gmail.com;12/15/2023
45;Item;Categoria 2;Somente a descricao do produto;76,31;fornecedor@gmail.com;12/15/2023
46;Hear;Categoria 3;Somente a descricao do produto;17,33;luciano@gmail.com;12/15/2023
47;Company;Categoria 4;Somente a descricao do produto;13,02;fabio@gmail.com;12/15/2023
48;Truth;Categoria 5;Somente a descricao do produto;75,04;fornecedor@gmail.com;12/15/2023
49;First;Categoria 6;Somente a descricao do produto;68,33;luciano@gmail.com;12/15/2023
50;Development;Categoria 7;Somente a descricao do produto;73,27;fabio@gmail.com;12/15/2023
51;Reach;Categoria 8;Somente a descricao do produto;25,86;fornecedor@gmail.com;12/15/2023
52;Similar;Categoria 9;Somente a descricao do produto;12,49;luciano@gmail.com;12/15/2023
53;Deep;Categoria 2;Somente a descricao do produto;85,75;fabio@gmail.com;12/15/2023
54;Republican;Categoria 3;Somente a descricao do produto;5,3;fornecedor@gmail.com;12/15/2023
55;Fine;Categoria 4;Somente a descricao do produto;25,82;luciano@gmail.com;12/15/2023
56;Evening;Categoria 5;Somente a descricao do produto;24,17;fabio@gmail.com;12/15/2023
57;Lawyer;Categoria 6;Somente a descricao do produto;7,87;fornecedor@gmail.com;12/15/2023
58;Difference;Categoria 7;Somente a descricao do produto;55,74;luciano@gmail.com;12/15/2023
59;Foreign;Categoria 8;Somente a descricao do produto;56,71;fabio@gmail.com;12/15/2023
60;Election;Categoria 9;Somente a descricao do produto;15,68;fornecedor@gmail.com;12/15/2023
61;Various;Categoria 1;Somente a descricao do produto;40,73;luciano@gmail.com;12/15/2023
62;Worker;Categoria 2;Somente a descricao do produto;95,43;fabio@gmail.com;12/15/2023
63;Lawyer;Categoria 3;Somente a descricao do produto;3,05;fornecedor@gmail.com;12/15/2023
64;Candidate;Categoria 4;Somente a descricao do produto;83,07;luciano@gmail.com;12/15/2023
65;Its;Categoria 5;Somente a descricao do produto;62,51;fabio@gmail.com;12/15/2023
66;Throw;Categoria 6;Somente a descricao do produto;6,81;fornecedor@gmail.com;12/15/2023
67;Doctor;Categoria 7;Somente a descricao do produto;16,27;luciano@gmail.com;12/15/2023
68;Anything;Categoria 8;Somente a descricao do produto;91,33;fabio@gmail.com;12/15/2023
69;Much;Categoria 9;Somente a descricao do produto;55,53;fornecedor@gmail.com;12/15/2023
70;High;Categoria 2;Somente a descricao do produto;43,76;luciano@gmail.com;12/15/2023
71;Close;Categoria 3;Somente a descricao do produto;8,1;fabio@gmail.com;12/15/2023
72;Poor;Categoria 4;Somente a descricao do produto;87,21;fornecedor@gmail.com;12/15/2023
73;Foreign;Categoria 5;Somente a descricao do produto;63,02;luciano@gmail.com;12/15/2023
74;Human;Categoria 6;Somente a descricao do produto;10,36;fabio@gmail.com;12/15/2023
75;Half;Categoria 7;Somente a descricao do produto;86,21;fornecedor@gmail.com;12/15/2023
76;Professional;Categoria 8;Somente a descricao do produto;45,79;luciano@gmail.com;12/15/2023
77;Benefit;Categoria 9;Somente a descricao do produto;32,17;fabio@gmail.com;12/15/2023
78;Particular;Categoria 1;Somente a descricao do produto;45,67;fornecedor@gmail.com;12/15/2023
79;Last;Categoria 2;Somente a descricao do produto;52,84;luciano@gmail.com;12/15/2023
80;We;Categoria 3;Somente a descricao do produto;84,54;fabio@gmail.com;12/15/2023
81;Throw;Categoria 4;Somente a descricao do produto;49,45;fornecedor@gmail.com;12/15/2023
82;City;Categoria 5;Somente a descricao do produto;32,93;luciano@gmail.com;12/15/2023
83;Type;Categoria 6;Somente a descricao do produto;76,91;fabio@gmail.com;12/15/2023
84;Despite;Categoria 7;Somente a descricao do produto;44,68;fornecedor@gmail.com;12/15/2023
85;Necessary;Categoria 8;Somente a descricao do produto;31,37;luciano@gmail.com;12/15/2023
86;Impact;Categoria 9;Somente a descricao do produto;37,01;fabio@gmail.com;12/15/2023
87;Development;Categoria 2;Somente a descricao do produto;40,33;fornecedor@gmail.com;12/15/2023
88;Indeed;Categoria 3;Somente a descricao do produto;41,26;luciano@gmail.com;12/15/2023
89;Order;Categoria 4;Somente a descricao do produto;67,45;fabio@gmail.com;12/15/2023
90;Determine;Categoria 5;Somente a descricao do produto;40,24;fornecedor@gmail.com;12/15/2023
91;Reach;Categoria 6;Somente a descricao do produto;84,31;luciano@gmail.com;12/15/2023
92;Southern;Categoria 7;Somente a descricao do produto;6,03;fabio@gmail.com;12/15/2023
93;Top;Categoria 8;Somente a descricao do produto;80,32;fornecedor@gmail.com;12/15/2023
94;Commercial;Categoria 9;Somente a descricao do produto;98,39;luciano@gmail.com;12/15/2023
95;Almost;Categoria 1;Somente a descricao do produto;60,36;fabio@gmail.com;12/15/2023
96;Generation;Categoria 2;Somente a descricao do produto;3,38;fornecedor@gmail.com;12/15/2023
97;His;Categoria 3;Somente a descricao do produto;28,47;luciano@gmail.com;12/15/2023
98;Find;Categoria 4;Somente a descricao do produto;11,62;fabio@gmail.com;12/15/2023
99;Expert;Categoria 5;Somente a descricao do produto;45,29;fornecedor@gmail.com;12/15/2023
100;Bring;Categoria 6;Somente a descricao do produto;4,08;luciano@gmail.com;12/15/2023
101;Ready;Categoria 7;Somente a descricao do produto;51,09;fabio@gmail.com;12/15/2023
102;Check;Categoria 8;Somente a descricao do produto;14,3;fornecedor@gmail.com;12/15/2023
103;Run;Categoria 9;Somente a descricao do produto;48,46;luciano@gmail.com;12/15/2023
104;Myself;Categoria 2;Somente a descricao do produto;84,67;fabio@gmail.com;12/15/2023
105;Technology;Categoria 3;Somente a descricao do produto;8,59;fornecedor@gmail.com;12/15/2023
106;Way;Categoria 4;Somente a descricao do produto;79,62;luciano@gmail.com;12/15/2023
107;According;Categoria 5;Somente a descricao do produto;54,12;fabio@gmail.com;12/15/2023
108;Per;Categoria 6;Somente a descricao do produto;77,89;fornecedor@gmail.com;12/15/2023
109;Military;Categoria 7;Somente a descricao do produto;31,51;luciano@gmail.com;12/15/2023
110;Could;Categoria 8;Somente a descricao do produto;20,97;fabio@gmail.com;12/15/2023
111;Smile;Categoria 9;Somente a descricao do produto;62,83;fornecedor@gmail.com;12/15/2023
112;Beautiful;Categoria 1;Somente a descricao do produto;54,65;luciano@gmail.com;12/15/2023
113;Realize;Categoria 2;Somente a descricao do produto;43,57;fabio@gmail.com;12/15/2023
114;Smile;Categoria 3;Somente a descricao do produto;82,54;fornecedor@gmail.com;12/15/2023
115;Win;Categoria 4;Somente a descricao do produto;56,94;luciano@gmail.com;12/15/2023
116;Option;Categoria 5;Somente a descricao do produto;19,35;fabio@gmail.com;12/15/2023
117;Away;Categoria 6;Somente a descricao do produto;35,69;fornecedor@gmail.com;12/15/2023
118;Newspaper;Categoria 7;Somente a descricao do produto;86,52;luciano@gmail.com;12/15/2023
119;Child;Categoria 8;Somente a descricao do produto;27,32;fabio@gmail.com;12/15/2023
120;Somebody;Categoria 9;Somente a descricao do produto;42,82;fornecedor@gmail.com;12/15/2023
121;Kid;Categoria 2;Somente a descricao do produto;81,37;luciano@gmail.com;12/15/2023
122;Property;Categoria 3;Somente a descricao do produto;46,51;fabio@gmail.com;12/15/2023
123;Else;Categoria 4;Somente a descricao do produto;61,52;fornecedor@gmail.com;12/15/2023
124;Direction;Categoria 5;Somente a descricao do produto;68,15;luciano@gmail.com;12/15/2023
125;Country;Categoria 6;Somente a descricao do produto;40,37;fabio@gmail.com;12/15/2023
126;Whatever;Categoria 7;Somente a descricao do produto;9,97;fornecedor@gmail.com;12/15/2023
127;Staff;Categoria 8;Somente a descricao do produto;44,29;luciano@gmail.com;12/15/2023
128;Machine;Categoria 9;Somente a descricao do produto;34,2;fabio@gmail.com;12/15/2023
129;Not;Categoria 1;Somente a descricao do produto;67,9;fornecedor@gmail.com;12/15/2023
130;Wish;Categoria 2;Somente a descricao do produto;48,97;luciano@gmail.com;12/15/2023
131;Activity;Categoria 3;Somente a descricao do produto;46,49;fabio@gmail.com;12/15/2023
132;Blood;Categoria 4;Somente a descricao do produto;22,96;fornecedor@gmail.com;12/15/2023
133;Late;Categoria 5;Somente a descricao do produto;34,83;luciano@gmail.com;12/15/2023
134;Memory;Categoria 6;Somente a descricao do produto;74,57;fabio@gmail.com;12/15/2023
135;Their;Categoria 7;Somente a descricao do produto;5,06;fornecedor@gmail.com;12/15/2023
136;Lay;Categoria 8;Somente a descricao do produto;2,31;luciano@gmail.com;12/15/2023
137;Free;Categoria 9;Somente a descricao do produto;61,8;fabio@gmail.com;12/15/2023
138;Dream;Categoria 2;Somente a descricao do produto;64,37;fornecedor@gmail.com;12/15/2023
139;Challenge;Categoria 3;Somente a descricao do produto;87,91;luciano@gmail.com;12/15/2023
140;Many;Categoria 4;Somente a descricao do produto;90,37;fabio@gmail.com;12/15/2023
141;Ball;Categoria 5;Somente a descricao do produto;64,55;fornecedor@gmail.com;12/15/2023
142;Prepare;Categoria 6;Somente a descricao do produto;45;luciano@gmail.com;12/15/2023
143;Serve;Categoria 7;Somente a descricao do produto;70,86;fabio@gmail.com;12/15/2023
144;Special;Categoria 8;Somente a descricao do produto;50,61;fornecedor@gmail.com;12/15/2023
145;Step;Categoria 9;Somente a descricao do produto;11,43;luciano@gmail.com;12/15/2023
146;Red;Categoria 1;Somente a descricao do produto;22,08;fabio@gmail.com;12/15/2023
147;Do;Categoria 2;Somente a descricao do produto;29,28;fornecedor@gmail.com;12/15/2023
148;Free;Categoria 3;Somente a descricao do produto;10,39;luciano@gmail.com;12/15/2023
149;Left;Categoria 4;Somente a descricao do produto;26,52;fabio@gmail.com;12/15/2023
150;Thousand;Categoria 5;Somente a descricao do produto;5,13;fornecedor@gmail.com;12/15/2023
151;Peace;Categoria 6;Somente a descricao do produto;48,39;luciano@gmail.com;12/15/2023
152;Bad;Categoria 7;Somente a descricao do produto;30,17;fabio@gmail.com;12/15/2023
153;Dinner;Categoria 8;Somente a descricao do produto;10,18;fornecedor@gmail.com;12/15/2023
154;Yeah;Categoria 9;Somente a descricao do produto;83,93;luciano@gmail.com;12/15/2023
155;Paper;Categoria 2;Somente a descricao do produto;26,68;fabio@gmail.com;12/15/2023
156;Space;Categoria 3;Somente a descricao do produto;30,7;fornecedor@gmail.com;12/15/2023
157;Seat;Categoria 4;Somente a descricao do produto;81;luciano@gmail.com;12/15/2023
158;Cover;Categoria 5;Somente a descricao do produto;59,15;fabio@gmail.com;12/15/2023
159;Machine;Categoria 6;Somente a descricao do produto;23,18;fornecedor@gmail.com;12/15/2023
160;Town;Categoria 7;Somente a descricao do produto;76,1;luciano@gmail.com;12/15/2023
161;Season;Categoria 8;Somente a descricao do produto;19,13;fabio@gmail.com;12/15/2023
162;Score;Categoria 9;Somente a descricao do produto;2,92;fornecedor@gmail.com;12/15/2023
163;Single;Categoria 1;Somente a descricao do produto;31,34;luciano@gmail.com;12/15/2023
164;Guess;Categoria 2;Somente a descricao do produto;43,89;fabio@gmail.com;12/15/2023
165;Book;Categoria 3;Somente a descricao do produto;78,99;fornecedor@gmail.com;12/15/2023
166;Begin;Categoria 4;Somente a descricao do produto;58,45;luciano@gmail.com;12/15/2023
167;Before;Categoria 5;Somente a descricao do produto;9,64;fabio@gmail.com;12/15/2023
168;Beat;Categoria 6;Somente a descricao do produto;39,49;fornecedor@gmail.com;12/15/2023
169;Treat;Categoria 7;Somente a descricao do produto;88,83;luciano@gmail.com;12/15/2023
170;Laugh;Categoria 8;Somente a descricao do produto;82,69;fabio@gmail.com;12/15/2023
171;Job;Categoria 9;Somente a descricao do produto;6,64;fornecedor@gmail.com;12/15/2023
172;Management;Categoria 2;Somente a descricao do produto;87,18;luciano@gmail.com;12/15/2023
173;Last;Categoria 3;Somente a descricao do produto;83,85;fabio@gmail.com;12/15/2023
174;Finish;Categoria 4;Somente a descricao do produto;13,22;fornecedor@gmail.com;12/15/2023
175;Remember;Categoria 5;Somente a descricao do produto;22,07;luciano@gmail.com;12/15/2023
176;Traditional;Categoria 6;Somente a descricao do produto;71,51;fabio@gmail.com;12/15/2023
177;Section;Categoria 7;Somente a descricao do produto;47,56;fornecedor@gmail.com;12/15/2023
178;Especially;Categoria 8;Somente a descricao do produto;62,09;luciano@gmail.com;12/15/2023
179;There;Categoria 9;Somente a descricao do produto;10,25;fabio@gmail.com;12/15/2023
180;Family;Categoria 1;Somente a descricao do produto;13,36;fornecedor@gmail.com;12/15/2023
181;Page;Categoria 2;Somente a descricao do produto;11,18;luciano@gmail.com;12/15/2023
182;Program;Categoria 3;Somente a descricao do produto;84,51;fabio@gmail.com;12/15/2023
183;Pressure;Categoria 4;Somente a descricao do produto;54,52;fornecedor@gmail.com;12/15/2023
184;Radio;Categoria 5;Somente a descricao do produto;2,91;luciano@gmail.com;12/15/2023
185;Factor;Categoria 6;Somente a descricao do produto;48,38;fabio@gmail.com;12/15/2023
186;Keep;Categoria 7;Somente a descricao do produto;86,34;fornecedor@gmail.com;12/15/2023
187;Than;Categoria 8;Somente a descricao do produto;62,01;luciano@gmail.com;12/15/2023
188;Throughout;Categoria 9;Somente a descricao do produto;68,25;fabio@gmail.com;12/15/2023
189;Business;Categoria 2;Somente a descricao do produto;56,92;fornecedor@gmail.com;12/15/2023
190;Item;Categoria 3;Somente a descricao do produto;94,66;luciano@gmail.com;12/15/2023
191;General;Categoria 4;Somente a descricao do produto;40,88;fabio@gmail.com;12/15/2023
192;Answer;Categoria 5;Somente a descricao do produto;76,89;fornecedor@gmail.com;12/15/2023
193;Catch;Categoria 6;Somente a descricao do produto;22,32;luciano@gmail.com;12/15/2023
194;Executive;Categoria 7;Somente a descricao do produto;98,04;fabio@gmail.com;12/15/2023
195;Parent;Categoria 8;Somente a descricao do produto;80,94;fornecedor@gmail.com;12/15/2023
196;Ever;Categoria 9;Somente a descricao do produto;83,83;luciano@gmail.com;12/15/2023
197;Between;Categoria 1;Somente a descricao do produto;5,87;fabio@gmail.com;12/15/2023
198;Affect;Categoria 2;Somente a descricao do produto;63,88;fornecedor@gmail.com;12/15/2023
199;Purpose;Categoria 3;Somente a descricao do produto;99,03;luciano@gmail.com;12/15/2023
200;Stock;Categoria 4;Somente a descricao do produto;74,98;fabio@gmail.com;12/15/2023
